nombre,fabricante,tipo,calorias,proteinas,grasas,sodio,fibra,carbohidratos,azucares,potasio,vitaminas,caducidad,peso,tazas,valoracion
100% Bran,N,C,70,4,1,130,10,5,6,280,25,3,1,0.33,0.68402973
100% Natural Bran,Q,C,120,3,5,15,2,8,8,135,0,3,1,1,0.33983679
All-Bran,K,C,70,4,1,260,9,7,5,320,25,3,1,0.33,0.59425505
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,25,3,1,0.5,0.93704912
Almond Delight,R,C,110,2,2,200,1,14,8,-1,25,3,1,0.75,0.34384843
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,0.29509541
Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,0.33174094
Basic 4,G,C,130,3,2,210,2,18,8,100,25,3,1.33,0.75,0.37038562
Bran Chex,R,C,90,2,1,200,4,15,6,125,25,1,1,0.67,0.49120253
Bran Flakes,P,C,90,3,0,210,5,13,5,190,25,3,1,0.67,0.53313813
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,0.18042851
Cheerios,G,C,110,6,2,290,2,17,1,105,25,1,1,1.25,0.50764999
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,0.19823573
Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,0.40400208
Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,0.22736446
Corn Chex,R,C,110,2,0,280,0,22,3,25,25,1,1,1,0.41445019
Corn Flakes,K,C,100,2,0,290,1,21,2,35,25,1,1,1,0.45863324
Corn Pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,0.35782791
Count Chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,0.22396513
Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,25,3,1,0.5,0.40448772
Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,-1,0,2,1,1,0.64533816
Crispix,K,C,110,2,0,220,1,21,3,30,25,3,1,1,0.46895644
Crispy Wheat & Raisins,G,C,100,2,1,140,2,11,10,120,25,3,1,0.75,0.36176196
Double Chex,R,C,100,2,0,190,1,18,5,80,25,3,1,0.75,0.44330856
Froot Loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,0.32207582
Frosted Flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,0.31435973
Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,100,25,2,1,0.8,0.58345141
Fruit & Fibre Dates; Walnuts; and Oats,P,C,120,3,2,160,5,12,10,200,25,3,1.25,0.67,0.40917047
Fruitful Bran,K,C,120,3,0,240,5,14,12,190,25,3,1.33,0.67,0.41015492
Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,0.75,0.28025765
Golden Crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,0.88,0.35252444
Golden Grahams,G,C,110,1,1,280,0,15,9,45,25,2,1,0.75,0.23804043
Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,85,25,3,1,0.88,0.52076897
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,25,3,1,0.25,0.53371007
Great Grains Pecan,P,C,120,3,3,75,3,13,4,100,25,3,1,0.33,0.45811716
Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,0.21871292
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,0.31072217
Honey-comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,0.28742414
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1,17,6,60,100,3,1,1,0.36523683
Just Right Fruit & Nut,K,C,140,3,1,170,2,20,9,95,100,3,1.3,0.75,0.36471512
Kix,G,C,110,2,1,260,0,21,3,40,25,2,1,1.5,0.39241114
Life,Q,C,100,4,2,150,2,12,6,95,25,2,1,0.67,0.45328074
Lucky Charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,0.26734515
Maypo,A,H,100,4,1,0,0,16,3,95,25,2,1,1,0.54850917
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3,16,11,170,25,3,1,1,0.37136863
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3,16,11,170,25,3,1,1,0.34139765
Mueslix Crispy Blend,K,C,160,3,2,150,3,17,13,160,25,3,1.5,0.67,0.30313351
Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,90,25,1,1,1,0.40105965
Nut&Honey Crunch,K,C,120,2,1,190,0,15,9,40,25,2,1,0.67,0.29924285
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3,21,7,130,25,3,1.33,0.67,0.4069232
Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,90,25,3,1,1,0.59642837
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,0.30450843
Post Nat. Raisin Bran,P,C,120,3,1,200,6,11,14,260,25,3,1.33,0.67,0.37840594
Product 19,K,C,100,3,0,320,1,20,3,45,100,3,1,1,0.4150354
Puffed Rice,Q,C,50,1,0,0,0,13,0,15,0,3,0.5,1,0.60756112
Puffed Wheat,Q,C,50,2,0,0,1,10,0,50,0,3,0.5,1,0.63005645
Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,110,25,3,1,0.5,0.49511874
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,0,1,1,0.67,0.50828392
Raisin Bran,K,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,0.39259197
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,0.397034
Raisin Squares,K,C,90,2,0,0,2,15,6,110,25,3,1,0.5,0.55333142
Rice Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,0.41998933
Rice Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,0.40560159
Shredded Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,0.68235885
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,1,0.67,0.74472949
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,120,0,1,1,0.67,0.72801787
Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,0.31230054
Special K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,0.53131324
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,25,2,1,1,0.59363993
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,0.38839746
Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,0.28592785
Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,0.46658844
Triples,G,C,110,2,1,250,0,21,3,60,25,3,1,0.75,0.39106174
Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,0.27753301
Wheat Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,0.49787445
Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,0.51592193
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,0.75,0.36187559
